92",.,"IMPUTATION OF RELATIONSHIP",,,,
"B99092",.,"Universe:  Population in households",,,,
"B99092",1.000,"Total:","571,239","+/-1,763","569,476","573,002"
"B99092",2.000,"Imputed","3,197","+/-1,015","2,182","4,212"
"B99092",3.000,"Not imputed","568,042","+/-1,921","566,121","569,963"
"B99102",.,"IMPUTATION OF GRANDPARENTS LIVING WITH GRANDCHILDREN UNDER 18 YEARS",,,,
"B99102",.,"Universe:  Population 30 years and over",,,,
"B99102",1.000,"Total:","370,535","+/-1,663","368,872","372,198"
"B99102",2.000,"Im
