ispanic or Latino",152,"Language other than English","28.4","+/-0.8","9.6","+/-0.7"
"450","Not Hispanic or Latino",153,"Speak English less than ""very well""","9.9","+/-0.6","2.5","+/-0.4"
"450","Not Hispanic or Latino",154,"Population 16 years and over","764,508","+/-1,758","545,765","+/-1,203"
"450","Not Hispanic or Latino",155,"In labor force","59.6","+/-0.7","57.3","+/-0.8"
"450","Not Hispanic or Latino",156,"Civilian labor force","58.9","+/-0.7","56.4","+/-0.8"
"450","Not Hispanic or Latino",157,"Emplo
