6012",.,"Universe:  Population in the United States for whom poverty status is determined",,,,
"B06012",1.000,"Total:","778,960","+/-17,008","761,952","795,968"
"B06012",2.000,"Below 100 percent of the poverty level","82,128","+/-7,934","74,194","90,062"
"B06012",3.000,"100 to 149 percent of the poverty level","73,317","+/-9,488","63,829","82,805"
"B06012",4.000,"At or above 150 percent of the poverty level","623,515","+/-17,960","605,555","641,475"
"B06012",5.000,"Born in state of residence:","247,050","+/
