,280"
"50000US3000","1"," 51","       892,497","         *****","         *****"
"50000US3000","1"," 52","        17,646","        16,450","        18,842"
"50000US3000","1"," 53","        12,669","        11,463","        13,875"
"50000US3000","1"," 54","         1,120","           565","         1,675"
"50000US3000","1"," 55","           181","             0","           454"
"50000US3000","1"," 56","         3,676","         2,222","         5,130"
"50000US3000","1"," 57","       874,851","       
