15002B",17.000,"Graduate degree","197","+/-189","8","386"
"B15002C",.,"SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (AMERICAN INDIAN AND ALASKA NATIVE ALONE)",,,,
"B15002C",.,"Universe:  American Indian and Alaska Native alone population 25 years and over",,,,
"B15002C",1.000,"Total:","N","N","N","N"
"B15002C",2.000,"Male:","N","N","N","N"
"B15002C",3.000,"Less than 9th grade","N","N","N","N"
"B15002C",4.000,"9th to 12th grade, no diploma","N","N","N","N"
"B15002C",5.000,"High school g
