00,"Imputed","4,875","+/-1,309","3,566","6,184"
"B99234",4.000,"Not imputed","54,233","+/-4,060","50,173","58,293"
"B99234",5.000,"Did not work in the past 12 months","29,855","+/-2,532","27,323","32,387"
"B99241",.,"IMPUTATION OF INDUSTRY FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",,,,
"B99241",.,"Universe:  Civilian employed population 16 years and over",,,,
"B99241",1.000,"Total:","50,227","+/-3,633","46,594","53,860"
"B99241",2.000,"Imputed","3,380","+/-1,166","2,214","4,546"
"B99241",3.000,
