8 "," 8,218 ", - , - , - , - , - , - , - , - , - , - , - 
"...Mother in labor force, father not in labor force"," 1,046 "," 1,046 ", - , - , - , - , - , - , - , - , - , - , - 
"...Father not in labor force, mother not in labor force", 702 , 702 , - , - , - , - , - , - , - , - , - , - , - 
...No parents present," 1,781 ", - , - , - , - , - , - , - , - , - , - , - ," 1,781 "
..FAMILY INCOME,,,,,,,,,,,,,
"...Under $2,500"," 1,417 ", 172 , 41 , 24 , 101 , 113 , 370 , 11 , - , 16 , 2 , 30 , 539 
"...$2,500
