","N","N"
"C19101C",11.000,"$200,000 or more","N","N","N","N"
"C19101D",.,"FAMILY INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) (ASIAN ALONE HOUSEHOLDER)",,,,
"C19101D",.,"Universe:  Families with a householder who is Asian alone",,,,
"C19101D",1.000,"Total:","5,784","+/-903","4,881","6,687"
"C19101D",2.000,"Less than $10,000","88","+/-100","0","188"
"C19101D",3.000,"$10,000 to $14,999","112","+/-131","0","243"
"C19101D",4.000,"$15,000 to $24,999","327","+/-270","57","597"
"C19101D",5.00
