5A",.,"Universe:  White alone workers 16 years and over",,,,
"B08105A",1.000,"Total:","1,679,666","+/-12,059","1,667,607","1,691,725"
"B08105A",2.000,"Car, truck, or van - drove alone","1,340,857","+/-13,390","1,327,467","1,354,247"
"B08105A",3.000,"Car, truck, or van - carpooled","167,756","+/-7,907","159,849","175,663"
"B08105A",4.000,"Public transportation (excluding taxicab)","45,672","+/-3,789","41,883","49,461"
"B08105A",5.000,"Walked","25,116","+/-2,800","22,316","27,916"
"B08105A",6.000,"Taxicab, mo
