"(X)","(X)","19.8","(X)",,,,
"S1902",0.0,,,,,,,,,,,,,
"S1902",0.5,,"Total","Margin of Error","Mean income (dollars)","Margin of Error",,,,,,,,
"S1902",0.8,,,,,,,,,,,,,
"S1902",1.0,"All households","36,207","+/-1,628","52,023","+/-3,918",,,,,,,,
"S1902",2.0,"With earnings","78.8","+/-3.0","53,901","+/-4,474",,,,,,,,
"S1902",3.0,"With interest, dividends, or net rental income","15.5","+/-2.8","6,933","+/-2,268",,,,,,,,
"S1902",4.0,"With Social Security income","29.2","+/-2.5","11,093","+/-924",,,,,,,,
"S1902"
