94799 ,PASTURE FORAGE MISC. ,79 ,San Luis Obispo ,6115 ,  ,  ,  ,  ,49000
2007 ,194799 ,PASTURE FORAGE MISC. ,91 ,Sierra ,20000 ,  ,  ,  ,  ,120000
2007 ,194799 ,PASTURE FORAGE MISC. ,103 ,Tehama ,3767 ,  ,  ,  ,  ,26400
2007 ,194799 ,PASTURE FORAGE MISC. ,991 ,Sum of Others ,500 ,  ,  ,  ,  ,500
2007 ,194799 ,PASTURE FORAGE MISC. , 999, State Totals,538068 ,3.31 ,87994 ,29.12 ,    ,14799300
2007 ,194599 ,PASTURE IRRIGATED ,3 ,Alpine ,1143 ,  ,  ,  ,  ,142900
2007 ,194599 ,PASTURE IRRIGATED ,5 ,Amador
