199 ,SALAD GREENS MISC. ,25 ,Imperial ,2600 ,3.50 ,9100 ,1700.00 ,TONS ,15470000
2007 ,394199 ,SALAD GREENS MISC. ,53 ,Monterey ,12887 ,9.47 ,122000 ,1436.68 ,TONS ,175275000
2007 ,394199 ,SALAD GREENS MISC. ,991 ,Sum of Others ,691 ,2.42 ,1673 ,1286.07 ,TONS ,2151600
2007 ,394199 ,SALAD GREENS MISC. , 999, State Totals,16178 ,8.21 ,132773 ,1452.83 ,    ,192896600
2007 ,172119 ,SEED ALFALFA ,19 ,Fresno ,7550 ,0.43 ,3213 ,3479.61 ,TON ,11180000
2007 ,172119 ,SEED ALFALFA ,25 ,Imperial ,23221 ,0.22 ,5212
