,854","5,002","12,710"
"B24082",20.000,"Unpaid family workers","2,500-","***","***","***"
"B24090",.,"SEX BY CLASS OF WORKER FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",,,,
"B24090",.,"Universe:  Full-time, year-round civilian employed population 16 years and over",,,,
"B24090",1.000,"Total:","142,275","+/-5,598","136,677","147,873"
"B24090",2.000,"Male:","84,948","+/-3,234","81,714","88,182"
"B24090",3.000,"Private for-profit wage and salary workers:","67,355","+/-3,210","
