rehousing, and utilities","383","+/-222","161","605"
"C24050",78.000,"Information","194","+/-212","0","406"
"C24050",79.000,"Finance and insurance, and real estate and rental and leasing","159","+/-122","37","281"
"C24050",80.000,"Professional, scientific, and management, and administrative and waste management services","107","+/-129","0","236"
"C24050",81.000,"Educational services, and health care and social assistance","177","+/-171","6","348"
"C24050",82.000,"Arts, entertainment, and recreation, and acc
