fessional, and related occupations","89,251","+/-4,588","84,663","93,839"
"B08124",19.000,"Service occupations","39,170","+/-3,373","35,797","42,543"
"B08124",20.000,"Sales and office occupations","50,177","+/-3,791","46,386","53,968"
"B08124",21.000,"Farming, fishing, and forestry occupations","2,398","+/-995","1,403","3,393"
"B08124",22.000,"Construction and extraction, and maintenance occupations","44,702","+/-4,624","40,078","49,326"
"B08124",23.000,"Production, transportation, and material moving occup
