4899 ,PEARS ASIAN ,991 ,Sum of Others ,16 ,4.38 ,70 ,2677.14 ,TONS ,187400
2007 ,214899 ,PEARS ASIAN , 999, State Totals,1018 ,11.26 ,11461 ,800.23 ,    ,9171400
2007 ,214199 ,PEARS BARTLETT ,17 ,El Dorado ,84 ,4.69 ,394 ,1252.54 ,TONS ,493500
2007 ,214199 ,PEARS BARTLETT ,33 ,Lake ,2078 ,17.35 ,36060 ,346.76 ,TON ,12504000
2007 ,214199 ,PEARS BARTLETT ,45 ,Mendocino ,1813 ,18.98 ,34412 ,408.28 ,TON ,14049800
2007 ,214199 ,PEARS BARTLETT ,67 ,Sacramento ,5682 ,22.20 ,126140 ,192.46 ,TON ,24277000
2007
