25040",.,"Universe:  Occupied housing units",,,,
"B25040",1.000,"Total:","1,661,033","+/-7,953","1,653,080","1,668,986"
"B25040",2.000,"Utility gas","596,689","+/-8,424","588,265","605,113"
"B25040",3.000,"Bottled, tank, or LP gas","91,528","+/-4,395","87,133","95,923"
"B25040",4.000,"Electricity","789,396","+/-11,792","777,604","801,188"
"B25040",5.000,"Fuel oil, kerosene, etc.","136,371","+/-6,000","130,371","142,371"
"B25040",6.000,"Coal or coke","575","+/-385","190","960"
"B25040",7.000,"Wood","39,535",
