",3.000,"Management, business, and financial occupations:","39,260","+/-3,138","36,122","42,398"
"B24021",4.000,"Management occupations","37,046","+/-4,048","32,998","41,094"
"B24021",5.000,"Business and financial operations occupations","43,125","+/-5,398","37,727","48,523"
"B24021",6.000,"Professional and related occupations:","38,208","+/-2,535","35,673","40,743"
"B24021",7.000,"Computer and mathematical occupations","44,092","+/-37,111","6,981","81,203"
"B24021",8.000,"Architecture and engineering occup
