nagement, professional, and related occupations","5,095","+/-1,218","3,877","6,313"
"C24010I",4.000,"Service occupations","15,357","+/-2,477","12,880","17,834"
"C24010I",5.000,"Sales and office occupations","7,628","+/-1,548","6,080","9,176"
"C24010I",6.000,"Farming, fishing, and forestry occupations","1,245","+/-703","542","1,948"
"C24010I",7.000,"Construction, extraction, maintenance, and repair occupations","10,240","+/-1,982","8,258","12,222"
"C24010I",8.000,"Production, transportation, and material mov
