0US0615","1"," 34","        41,231","        28,628","        53,834"
"50000US0615","1"," 35","        12,316","         4,929","        19,703"
"50000US0615","1"," 36","         1,962","             0","         4,414"
"50000US0615","1"," 37","             N","             N","             N"
"50000US0615","1"," 38","             N","             N","             N"
"50000US0615","1"," 39","             N","             N","             N"
"50000US0615","1"," 40","             N","             N","  
