97","+/-1,703","17,494","20,900"
"B25087",3.000,"Less than $200","51","+/-85","0","136"
"B25087",4.000,"$200 to $299","0","+/-292","0","292"
"B25087",5.000,"$300 to $399","46","+/-79","0","125"
"B25087",6.000,"$400 to $499","109","+/-133","0","242"
"B25087",7.000,"$500 to $599","180","+/-174","6","354"
"B25087",8.000,"$600 to $699","87","+/-104","0","191"
"B25087",9.000,"$700 to $799","473","+/-318","155","791"
"B25087",10.000,"$800 to $899","355","+/-245","110","600"
"B25087",11.000,"$900 to $999","369","+
