1","White alone, not Hispanic or Latino",170,"Car, truck, or van - carpooled","12.0","+/-1.2","11.4","+/-1.2"
"451","White alone, not Hispanic or Latino",171,"Public transportation (excluding taxicab)","3.0","+/-0.6","2.6","+/-0.6"
"451","White alone, not Hispanic or Latino",172,"Walked","3.6","+/-0.6","3.1","+/-0.6"
"451","White alone, not Hispanic or Latino",173,"Other means","2.4","+/-0.4","2.3","+/-0.5"
"451","White alone, not Hispanic or Latino",174,"Worked at home","3.7","+/-0.6","4.0","+/-0.7"
"451",
