n, extraction, maintenance and repair occupations","15.5%","2.1","16.4%","2.1",
"DP03",32.0,"Production, transportation, and material moving occupations","15.0%","1.8","12.9%","1.7",
"DP03",32.3,,,,,,
"DP03",32.5,"INDUSTRY",,,,,
"DP03",33.0,"Civilian employed population 16 years and over","42,265","1,347","37,295","1,194","*"
"DP03",34.0,"Agriculture, forestry, fishing and hunting, and mining","2.7%","0.8","5.2%","1.0","*"
"DP03",35.0,"Construction","11.0%","1.8","11.4%","1.9",
"DP03",36.0,"Manufacturing","
