Hispanic or Latino (of any race)",271,"Built 2000 or later","16.2","+/-0.8","15.5","+/-1.7"
"400","Hispanic or Latino (of any race)",272,"Built 1990 to 1999","17.9","+/-0.9","13.9","+/-1.8"
"400","Hispanic or Latino (of any race)",273,"Built 1980 to 1989","18.6","+/-1.1","21.6","+/-2.1"
"400","Hispanic or Latino (of any race)",274,"Built 1960 to 1979","32.3","+/-1.1","32.7","+/-2.3"
"400","Hispanic or Latino (of any race)",275,"Built 1940 to 1959","12.7","+/-0.7","14.3","+/-1.8"
"400","Hispanic or Latino (o
