     
.Total,"17,392",587,433,321,"1,355","1,659","1,368","3,728","2,321","1,957","1,229","2,433"
..Nursery School,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         
...Public,567,44,26,20,59,64,50,94,52,45,9,102
...Private,791,23,        -,3,35,40,58,182,139,140,78,91
..Kindergarten,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         
...Public,869,25,18,29,62,115,78
