"
"C09016",.,"HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP",,,,
"C09016",.,"Universe:  Total population",,,,
"C09016",1.000,"Total:","584,783","+/-1,782","583,001","586,565"
"C09016",2.000,"In households:","571,239","+/-1,763","569,476","573,002"
"C09016",3.000,"In family households:","477,602","+/-4,858","472,744","482,460"
"C09016",4.000,"Householder:","157,855","+/-4,148","153,707","162,003"
"C09016",5.000,"Male","82,258","+/-3,578","78,680","85,836"
"C09016",6.000,"Female","75,597","+/-3,730"
