,117","1,036",- ,- ,- ,,151* ,,,,,,,,,,
.55 to 59 years ,"15,260",493,- ,- ,- ,,62* ,,,,,,,,,,
.60 to 64 years ,"11,774",288,- ,- ,- ,,114* ,,,,,,,,,,
.65 to 74 years ,"21,115",403,- ,- ,- ,,177* ,,,,,,,,,,
.75 years and over ,"22,409",347,- ,- ,- ,,206* ,,,,,,,,,,
..Native ,"257,315","74,857","4,659","3,516","13,744","11,596","12,288",,,,,,,,,,
3 to 5 years ,"9,918","7,581","4,659","2,707",215,- ,- ,,,,,,,,,,
6 to 13 years ,"24,869","24,433",- ,809,"13,529","9,924",171,,,,,,,,,,
14 to 17 years ,"10
