9083",.,"Universe:  Workers 16 years and over",,,,
"B99083",1.000,"Total:","377,420","+/-10,871","366,549","388,291"
"B99083",2.000,"Did not work at home:","360,182","+/-10,435","349,747","370,617"
"B99083",2.700,"Time leaving home to go to work --",,,,
"B99083",3.000,"Imputed","40,662","+/-4,249","36,413","44,911"
"B99083",4.000,"Not imputed","319,520","+/-10,994","308,526","330,514"
"B99083",5.000,"Worked at home","17,238","+/-2,320","14,918","19,558"
"B99084",.,"IMPUTATION OF TRAVEL TIME TO WORK",,,,
"B9
