t, professional, and related occupations","0","+/-265","0","265"
"C08124",27.000,"Service occupations","714","+/-586","128","1,300"
"C08124",28.000,"Sales and office occupations","651","+/-594","57","1,245"
"C08124",29.000,"Farming, fishing, and forestry occupations","0","+/-265","0","265"
"C08124",30.000,"Construction and extraction, and maintenance occupations","46","+/-81","0","127"
"C08124",31.000,"Production, transportation, and material moving occupations","306","+/-337","0","643"
"C08124",32.000,"Arm
