, year-round in the past 12 months:","66,828","+/-2,848","63,980","69,676"
"B20005H",4.000,"No earnings","64","+/-112","0","176"
"B20005H",5.000,"With earnings:","66,764","+/-2,852","63,912","69,616"
"B20005H",6.000,"$1 to $2,499 or loss","117","+/-144","0","261"
"B20005H",7.000,"$2,500 to $4,999","61","+/-101","0","162"
"B20005H",8.000,"$5,000 to $7,499","295","+/-326","0","621"
"B20005H",9.000,"$7,500 to $9,999","555","+/-485","70","1,040"
"B20005H",10.000,"$10,000 to $12,499","399","+/-400","0","799"
"B2
