try, fishing and hunting, and mining:","N","N","N","N"
"B24070",138.000,"Agriculture, forestry, fishing and hunting","N","N","N","N"
"B24070",139.000,"Mining","N","N","N","N"
"B24070",140.000,"Construction","N","N","N","N"
"B24070",141.000,"Manufacturing","N","N","N","N"
"B24070",142.000,"Wholesale trade","N","N","N","N"
"B24070",143.000,"Retail trade","N","N","N","N"
"B24070",144.000,"Transportation and warehousing, and utilities:","N","N","N","N"
"B24070",145.000,"Transportation and warehousing","N","N","
