  "(*)",            -1,            -2,
    "",            "",            "",            "",            "",            "",            "",            "",            "",
  "50",          -837,         -1064,          -711,          -939,         -1633,          -643,         -1606,         -1428,
  "51",          -451,          -302,          -314,          -365,          -298,          -962,          -985,          -372,
  "52",          -203,          -270,          -295,          -549,          -595,   
