ta/basins/sc/indian/1997/q2/,inq21997.tgz,988051.nc,19970625,-10.6500,51.1667,0.700000,836.100,6.84000,26.0600,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,988052.nc,19970625,-10.4350,51.7500,0.700000,836.100,6.80000,25.5800,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,988053.nc,19970625,-8.8533,55.8433,0.700000,836.100,6.83000,26.8300,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,988054.nc,19970626,-8.2750,57.3250,0.700000,836.100,6.66000,27.0700,,
woce-uot,./data/basins/
