1,605","127,689","122,729","120,563","118,757","118,362","118,360"
.65 to 69 years,"108,775","107,081","106,499","106,609","106,983","107,374","107,373"
.70 to 74 years,"94,088","96,606","98,855","101,797","104,051","104,564","104,562"
.75 to 79 years,"89,317","90,391","90,541","90,953","91,489","91,508","91,505"
.80 to 84 years,"68,586","68,198","68,726","68,103","67,753","67,651","67,655"
.85 years or more,"72,373","70,711","68,872","67,865","65,801","65,118","65,118"
,,,,,,,
.Under 18 years,"680,4
