000US4832","1"," 35","        10,424","         3,827","        17,021"
"50000US4832","1"," 36","           824","           448","         1,200"
"50000US4832","1"," 37","             N","             N","             N"
"50000US4832","1"," 38","             N","             N","             N"
"50000US4832","1"," 39","             N","             N","             N"
"50000US4832","1"," 40","             N","             N","             N"
"50000US4832","1"," 41","        99,046","        73,615","
