e gross rent:","14,683,700","+/-1,944,642","12,739,058","16,628,342"
"B25067",2.000,"Meals included in rent","575,600","+/-412,627","162,973","988,227"
"B25067",3.000,"No meals included in rent","14,108,100","+/-1,927,691","12,180,409","16,035,791"
"B25068",.,"BEDROOMS BY GROSS RENT",,,,
"B25068",.,"Universe:  Renter-occupied housing units",,,,
"B25068",1.000,"Total:","N","N","N","N"
"B25068",2.000,"No bedroom:","N","N","N","N"
"B25068",3.000,"With cash rent:","N","N","N","N"
"B25068",4.000,"Less than $200"
