ica:",27,"Female","51.7","+/-0.1","51.1","+/-2.3"
"687","Latin America:",28,"18 to 34 years","229,638","+/-811","27,022","+/-3,207"
"687","Latin America:",29,"Male","50.8","+/-0.2","51.3","+/-4.1"
"687","Latin America:",30,"Female","49.2","+/-0.2","48.7","+/-4.1"
"687","Latin America:",31,"35 to 64 years","364,273","+/-1,177","41,757","+/-3,372"
"687","Latin America:",32,"Male","48.5","+/-0.1","49.5","+/-2.7"
"687","Latin America:",33,"Female","51.5","+/-0.1","50.5","+/-2.7"
"687","Latin America:",34,"65 ye
