d extraction occupations","52,250","+/-74,750","-22,500","127,000"
"B24012",68.000,"Installation, maintenance, and repair occupations","-","**","**","**"
"B24012",69.000,"Production, transportation, and material moving occupations:","20,302","+/-4,574","15,728","24,876"
"B24012",70.000,"Production occupations","37,005","+/-15,617","21,388","52,622"
"B24012",71.000,"Transportation and material moving occupations:","18,513","+/-4,299","14,214","22,812"
"B24012",72.000,"Supervisors, transportation and material
