9,999 or loss","2,521","+/-971","1,550","3,492"
"C20005A",35.000,"$10,000 to $19,999","1,557","+/-548","1,009","2,105"
"C20005A",36.000,"$20,000 to $29,999","654","+/-436","218","1,090"
"C20005A",37.000,"$30,000 to $49,999","1,001","+/-416","585","1,417"
"C20005A",38.000,"$50,000 to $74,999","531","+/-330","201","861"
"C20005A",39.000,"$75,000 or more","161","+/-202","0","363"
"C20005B",.,"SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS BY EARNINGS IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) FOR
