",54.000,"Less than $10,000","14,254","+/-1,627","12,627","15,881"
"B19037A",55.000,"$10,000 to $14,999","18,378","+/-1,936","16,442","20,314"
"B19037A",56.000,"$15,000 to $19,999","17,228","+/-1,869","15,359","19,097"
"B19037A",57.000,"$20,000 to $24,999","14,993","+/-1,775","13,218","16,768"
"B19037A",58.000,"$25,000 to $29,999","15,115","+/-1,564","13,551","16,679"
"B19037A",59.000,"$30,000 to $34,999","13,968","+/-1,659","12,309","15,627"
"B19037A",60.000,"$35,000 to $39,999","12,009","+/-1,530","10,479
