/-25","0.0","+/-52.6",,,,
"S1301",14.0,"White alone, not Hispanic or Latino","N","N","N","N","N","N","N","N",,,,
"S1301",14.3,,,,,,,,,,,,,
"S1301",14.5,"CITIZENSHIP STATUS",,,,,,,,,,,,
"S1301",15.0,"Native","26,564","+/-3,067","937","+/-441","35","+/-17","47.9","+/-26.5",,,,
"S1301",16.0,"Foreign born","27,528","+/-3,245","736","+/-431","27","+/-15","34.0","+/-28.5",,,,
"S1301",16.3,,,,,,,,,,,,,
"S1301",16.5,"EDUCATIONAL ATTAINMENT",,,,,,,,,,,,
"S1301",17.0,"Less than high school graduate","9,078","+/-1,987
