02",12.000,"Moved from remainder of Metropolitan Statistical Area","2,864","+/-995","1,869","3,859"
"B07202",13.000,"Not in a Metropolitan or Micropolitan Statistical Area 1 year ago","3,610","+/-1,248","2,362","4,858"
"B07202",14.000,"Abroad 1 year ago","104","+/-120","0","224"
"B07203",.,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--NOT METROPOLITAN OR MICROPOLITAN STATISTICAL AREA LEVEL IN THE UNITED STATES",,,,
"B07203",.,"Universe:  Population 1 year and over not living in a Metropolit
