ta/basins/sc/indian/1997/q2/,inq21997.tgz,1126808.nc,19970616,-13.1500,107.400,0.700000,759.400,6.22700,28.0150,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1126809.nc,19970616,-14.1833,107.783,0.700000,759.400,6.43700,28.2170,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1126810.nc,19970616,-15.2333,108.183,0.700000,759.400,6.46700,28.0550,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1126811.nc,19970616,-16.3167,108.583,0.700000,759.400,21.1070,27.2430,,
woce-uot,./data/b
