ied housing units","270,918","+/-3,719","33,986","+/-2,867"
"541","Irish (050, 081)",263,"Owner-occupied housing units","71.0","+/-1.3","67.9","+/-4.6"
"541","Irish (050, 081)",264,"Renter-occupied housing units","29.0","+/-1.3","32.1","+/-4.6"
"541","Irish (050, 081)",265,"Average household size of owner-occupied unit","2.44","+/-0.04","2.34","+/-0.13"
"541","Irish (050, 081)",266,"Average household size of renter-occupied unit","2.30","+/-0.08","2.04","+/-0.21"
"541","Irish (050, 081)",267,"1-unit, detach
