     Household population","     1,229,997","   100%","     1,229,569","   100%","          -428","*****","- -"
"        1","      68","          Householder","       550,802","  44.8%","       545,270","  44.3%","- 0.5%","+/-1.0%","no"
"        1","      69","          Spouse","       238,501","  19.4%","       251,283","  20.4%","   1.0%","+/-1.0%","no"
"        1","      70","          Child","       333,523","  27.1%","       335,285","  27.3%","   0.2%","+/-1.0%","no"
"        1","      71","      
