032-045)",254,"Related children under 18 years","24.7","+/-3.0","18.3","+/-6.8"
"535","German (032-045)",255,"Related children under 5 years","30.6","+/-5.6","31.5","+/-15.2"
"535","German (032-045)",256,"Related children 5 to 17 years","22.7","+/-3.0","15.5","+/-5.6"
"535","German (032-045)",257,"18 years and over","15.7","+/-1.2","11.3","+/-2.0"
"535","German (032-045)",258,"18 to 64 years","16.6","+/-1.3","11.8","+/-2.2"
"535","German (032-045)",259,"65 years and over","12.2","+/-1.9","9.3","+/-4.4"
"535
