rvices:","71,781","+/-7,830","63,951","79,611"
"B24032",17.000,"Professional, scientific, and technical services","100,000+","***","***","***"
"B24032",18.000,"Management of companies and enterprises","36,008","+/-9,679","26,329","45,687"
"B24032",19.000,"Administrative and support and waste management services","30,313","+/-4,315","25,998","34,628"
"B24032",20.000,"Educational services, and health care and social assistance:","47,378","+/-5,571","41,807","52,949"
"B24032",21.000,"Educational services","48,
