"Foreign born",291,"Renter-occupied housing units","135,979","+/-4,471","24,646","+/-2,217"
"601","Foreign born",292,"Less than 30 percent","50.4","+/-2.6","51.4","+/-5.4"
"601","Foreign born",293,"30 percent or more","49.6","+/-2.6","48.6","+/-5.4"
"601","Foreign born",294,"Median gross rent (dollars)","710","+/-22","641","+/-23"
"686","Americas:",1,"Total population","967,089","*****","92,744","+/-6,793"
"686","Americas:",2,"One race","96.8","+/-0.5","N","N"
"686","Americas:",3,"Two races","3.0","+/-0.4",
