ulture, forestry, fishing and hunting","159","+/-155","4","314"
"C24040",32.000,"Mining","0","+/-292","0","292"
"C24040",33.000,"Construction","91","+/-107","0","198"
"C24040",34.000,"Manufacturing","838","+/-402","436","1,240"
"C24040",35.000,"Wholesale trade","217","+/-278","0","495"
"C24040",36.000,"Retail trade","1,324","+/-507","817","1,831"
"C24040",37.000,"Transportation and warehousing, and utilities:","1,315","+/-701","614","2,016"
"C24040",38.000,"Transportation and warehousing","1,156","+/-676","
