102,49,Same county,6.4,+/-0.3,3.0,+/-0.2,,,,,,,,,,
S0102,50,Different county,3.6,+/-0.1,1.4,+/-0.2,,,,,,,,,,
S0102,51,Same state,2.2,+/-0.1,0.9,+/-0.1,,,,,,,,,,
S0102,52,Different state,1.5,+/-0.1,0.5,+/-0.1,,,,,,,,,,
S0102,53,Abroad,1.1,+/-0.1,0.5,+/-0.1,,,,,,,,,,
S0102,53.3, ,,,,,,,,,,,,,,
S0102,53.5,PLACE OF BIRTH CITIZENSHIP STATUS AND YEAR OF ENTRY,,,,,,,,,,,,,,
S0102,54,Total population,8274527,*****,1385436,+/-8424,,,,,,,,,,
S0102,55,Native,5226851,+/-33196,773518,+/-11762,,,,,,,,,,
S0102,56,Foreign 
