37","691,275","703,184","711,115","729,944","733,660","733,638"
.Under 5 years,"180,839","181,318","182,462","183,272","187,497","188,419","188,413"
.5 to 13 years,"336,089","345,622","353,482","358,397","368,236","370,000","369,991"
.14 to 17 years,"163,509","164,335","167,240","169,446","174,211","175,241","175,234"
.18 to 64 years,"1,840,875","1,817,714","1,798,099","1,785,151","1,762,414","1,756,507","1,756,473"
.18 to 24 years,"316,404","317,334","314,901","310,484","300,553","298,012","298,008"
