,"Building material and garden equipment and supplies dealers","3,489","+/-1,237","2,252","4,726"
"B24030",53.000,"Food and beverage stores","4,758","+/-1,432","3,326","6,190"
"B24030",54.000,"Pharmacies and drug stores","1,138","+/-602","536","1,740"
"B24030",55.000,"Other health and personal care stores","338","+/-259","79","597"
"B24030",56.000,"Gasoline stations","578","+/-571","7","1,149"
"B24030",57.000,"Clothing and clothing accessories, including shoe, stores","1,656","+/-659","997","2,315"
"B24030"
