 $60,000","N","N","N","N"
"C25121",29.000,"Value $60,000 to $99,999","N","N","N","N"
"C25121",30.000,"Value $100,000 to $199,999","N","N","N","N"
"C25121",31.000,"Value $200,000 or more","N","N","N","N"
"C25122",.,"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) BY GROSS RENT",,,,
"C25122",.,"Universe:  Renter-occupied housing units",,,,
"C25122",1.000,"Total:","13,051","+/-1,532","11,519","14,583"
"C25122",1.700,"Household income in the past 12 months (in 2007 inflation-adjusted
