00 to $1,249","16.6","+/-1.2",,,,,,,,,,
"S2506",39.0,"$1,250 to $1,499","9.6","+/-1.1",,,,,,,,,,
"S2506",40.0,"$1,500 to $1,999","9.3","+/-0.9",,,,,,,,,,
"S2506",41.0,"$2,000 or more","6.6","+/-0.9",,,,,,,,,,
"S2506",42.0,"Median (dollars)","915","+/-21",,,,,,,,,,
"S2506",42.3,,,,,,,,,,,,,
"S2506",42.5,"MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS",,,,,,,,,,,,
"S2506",43.0,"Less than $20,000","12.3","+/-1.2",,,,,,,,,,
"S2506",44.0,"Less than 20 percent","0.2","+/-0.2",,,,,
