seholder, no wife present:","14,475","+/-2,130","12,345","16,605"
"C22007",23.000,"No workers","844","+/-502","342","1,346"
"C22007",24.000,"1 worker","6,876","+/-1,401","5,475","8,277"
"C22007",25.000,"2 or more workers","6,755","+/-1,382","5,373","8,137"
"C22007",26.000,"Female householder, no husband present:","32,881","+/-3,086","29,795","35,967"
"C22007",27.000,"No workers","2,094","+/-846","1,248","2,940"
"C22007",28.000,"1 worker","20,256","+/-2,630","17,626","22,886"
"C22007",29.000,"2 or more worke
