5,000 to $49,999","12.7","+/-0.3","10.6","+/-0.5","13.7","+/-0.5",,,,,,
"S2503",38.0,"Less than 20 percent","2.5","+/-0.1","2.9","+/-0.3","2.3","+/-0.2",,,,,,
"S2503",39.0,"20 to 29 percent","4.0","+/-0.2","1.9","+/-0.2","5.1","+/-0.3",,,,,,
"S2503",40.0,"30 percent or more","6.1","+/-0.2","5.7","+/-0.3","6.3","+/-0.3",,,,,,
"S2503",41.0,"$50,000 to $74,999","16.6","+/-0.4","18.0","+/-0.6","15.9","+/-0.4",,,,,,
"S2503",42.0,"Less than 20 percent","6.0","+/-0.2","6.7","+/-0.3","5.7","+/-0.3",,,,,,
"S2503",43
