,234,"Median income (dollars)","28,405","+/-1,918","34,575","+/-5,709"
"452","White alone or in combination with one or more other races, not Hispanic or Latino",235,"Individuals","967,089","*****","569,185","+/-2,779"
"452","White alone or in combination with one or more other races, not Hispanic or Latino",236,"Per capita income (dollars)","24,319","+/-495","30,660","+/-792"
"452","White alone or in combination with one or more other races, not Hispanic or Latino",237,"Male","161,264","+/-4,372","98,564",
