"
"B07404H",4.0000,"Moved to different county within same state","64,861","+/-5,043","59,818","69,904"
"B07404H",5.0000,"Moved to different state","44,913","+/-4,149","40,764","49,062"
"B07404I",.,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE (HISPANIC OR LATINO) FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES",,,,
"B07404I",.,"Universe:  Hispanic or Latino population 1 year and over in the United States",,,,
"B07404I",1.0000,"Total living in area 1 year ago:","34,116","+/-2,001","32,115","36,117"
"B07404I"
