F",6.000,"Worked full-time, year-round in the past 12 months","N","N","N","N"
"B20017F",7.000,"Other","N","N","N","N"
"B20017G",.,"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) BY SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS FOR THE POPULATION 16 YEARS AND OVER WITH EARNINGS IN THE PAST 12 MONTHS (TWO OR MORE RACES)",,,,
"B20017G",.,"Universe:  Two or more races population 16 years and over with earnings in the past 12 months",,,,
"B20017G",0.700,"Median earnings in the past 12 
