.1"
"DP05",27.3,,,,,
"DP05",27.5,"RACE",,,,
"DP05",28.0,"Total population","5,413,212","*****","100","(X)"
"DP05",29.0,"One race","5,319,364","+/-8,505","100","(X)"
"DP05",30.0,"Two or more races","93,848","+/-8,505","100","(X)"
"DP05",30.3,,,,,
"DP05",31.0,"One race","5,319,364","+/-8,505","98.3","+/-0.2"
"DP05",32.0,"White","3,798,424","+/-18,037","71.4","+/-0.3"
"DP05",33.0,"Black or African American","1,099,040","+/-8,761","20.7","+/-0.2"
"DP05",34.0,"American Indian and Alaska Native","12,989","+/-2,65
