c/indian/1997/q2/,inq21997.tgz,926662.nc,19970404,27.2000,52.3000,1.00000,65.0000,20.7000,21.9000,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,926663.nc,19970405,27.2000,52.2500,1.00000,78.0000,20.7000,21.9000,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1141226.nc,19970405,27.1167,52.3833,1.00000,78.0000,20.0000,21.9000,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1141227.nc,19970405,27.3000,52.0667,2.00000,48.0000,20.7000,21.7000,,
woce-uot,./data/basins/sc/indian/1997/
