"40","+/-64","0.1","+/-0.2"
"DP04",73.0,"Lacking complete kitchen facilities","190","+/-220","0.5","+/-0.6"
"DP04",74.0,"No telephone service available","2,527","+/-850","7.2","+/-2.3"
"DP04",74.3,,,,,
"DP04",74.5,"OCCUPANTS PER ROOM",,,,
"DP04",75.0,"Occupied housing units","35,200","+/-2,061","100","(X)"
"DP04",76.0,"1.00 or less","33,736","+/-2,082","95.8","+/-1.8"
"DP04",77.0,"1.01 to 1.50","1,221","+/-553","3.5","+/-1.6"
"DP04",78.0,"1.51 or more","243","+/-249","0.7","+/-0.7"
"DP04",78.3,,,,,
"DP04",7
