a,"1,026","1,019",972,899,902,907,908,908
Long Branch borough,Pennsylvania,520,522,526,529,534,538,539,539
Lorain borough,Pennsylvania,705,712,720,728,736,745,747,747
Loretto borough,Pennsylvania,"1,166","1,169","1,157","1,147","1,208","1,189","1,190","1,190"
Lower Burrell city,Pennsylvania,"12,444","12,492","12,534","12,547","12,554","12,598","12,608","12,608"
Lumber City borough,Pennsylvania,83,84,84,85,85,86,86,86
Luzerne borough,Pennsylvania,"2,805","2,823","2,849","2,875","2,905","2,943","2,952",
