.000,"16 to 20 years:","188","+/-174","14","362"
"B18034",8.000,"Income in the past 12 months below the poverty level","0","+/-303","0","303"
"B18034",9.000,"Income in the past 12 months at or above the poverty level","188","+/-174","14","362"
"B18034",10.000,"21 to 64 years:","3,566","+/-850","2,716","4,416"
"B18034",11.000,"Income in the past 12 months below the poverty level","943","+/-470","473","1,413"
"B18034",12.000,"Income in the past 12 months at or above the poverty level","2,623","+/-806","1,817"
